"name","frequency","probability"
"Vanessa",245537,0.00155982425036947
"Eva",245343,0.00155859182550246
"Monica",245168,0.00155748010203995
"Esther",243459,0.00154662332834034
"Hazel",238133,0.00151278881884699
"Brianna",237526,0.00150893272660845
"Sheila",237224,0.00150701420954743
"April",233546,0.00148364895871819
"Jasmine",233072,0.00148063777631116
"Melanie",229197,0.00145602104249841
"Sherry",228740,0.00145311785608488
"Erica",228300,0.00145032266566485
"Sylvia",227922,0.00144792134298583
"Katie",227550,0.0014455581365398
"Pauline",225189,0.00143055939885415
"Thelma",224626,0.00142698282565761
"Michele",222746,0.00141503973931749
"Alexandra",219076,0.00139172531013225
"Suzanne",218057,0.00138525190322769
"Lucille",217677,0.00138283787513766
"Alicia",216931,0.00137809875683461
"Kristen",216449,0.00137503675278358
"Veronica",210036,0.00133429685241167
"Anita",209852,0.00133312795459965
"Dolores",209696,0.00133213693254164
"Joanne",209075,0.0013281919024261
"Geraldine",209056,0.0013280712010216
"Jill",207627,0.00131899318486201
"Juanita",205396,0.00130482029889136
"Caroline",204841,0.00130129454733883
"Darlene",203121,0.00129036789387872
"Morgan",202391,0.00128573041886367
"Lorraine",201703,0.00128135975747962
"Gail",200328,0.00127262478741703
"Bertha",198044,0.00125811520805488
"Rhonda",197618,0.00125540895551186
"Sally",196268,0.00124683280308677
"Leah",194610,0.00123630001736766
"Holly",194061,0.00123281238204813
"Dana",189807,0.00120578797285085
"Vivian",189728,0.00120528610911634
"Beatrice",187150,0.00118890883433718
"Debbie",186777,0.00118653927518565
"Marion",186066,0.00118202250157511
"Ida",184733,0.00117355434514352
"June",184205,0.00117020011663948
"Ava",184034,0.00116911380399897
"Lynn",181107,0.00115051943500028
"Bernice",180964,0.00114961099811377
"Brooke",180603,0.00114731767142825
"Eileen",178848,0.00113616867327564
"Kim",178775,0.00113570492577413
"Kristin",178261,0.0011324396351471
"Jo",178228,0.0011322299958656
"Lucy",176875,0.00112363478532401
"Renee",176868,0.00112359031638551
"Gertrude",176133,0.00111892107784296
"Loretta",172858,0.00109811596733025
"Tara",171772,0.00109121692915718
"Chloe",170688,0.00108433059639511
"Roberta",170285,0.00108177045607858
"Elsie",170283,0.00108175775066758
"Cathy",169668,0.00107785083678504
"Regina",168780,0.00107220963430098
"Madeline",168224,0.00106867753004294
"Bessie",167521,0.0010642115780764
"Annette",165114,0.00104892061593774
"Laurie",165100,0.00104883167806074
"Rosa",164987,0.00104811382233923
"Cassandra",163264,0.00103716811076262
"Stacy",161644,0.00102687672785252
"Claire",161329,0.00102487562562
"Colleen",160731,0.00102107670773096
"Mia",159980,0.00101630582590041
"Jessie",159658,0.00101426025472939
"Minnie",158126,0.00100452790990329
"Sydney",157292,0.000999229753516234
"Jeanne",157167,0.000998435665328725
"Jeanette",157001,0.000997381116215715
"Kaitlyn",156509,0.000994255585109683
"Agnes",155910,0.000990450314515144
"Yvonne",154696,0.000982738130038065
"Chelsea",154535,0.000981715344452554
"Beth",154395,0.000980825965682545
"Alma",154149,0.000979263200129529
"Lindsey",153649,0.000976086847379497
"Vicki",152957,0.000971690775173452
"Joann",151668,0.000963502137783868
"Lillie",151335,0.000961386686852346
"Gina",151241,0.00096078953253534
"Haley",150635,0.000956939793002301
"Molly",149389,0.000949024321949219
"Stella",149303,0.000948477989276214
"Pearl",147506,0.000937062177492597
"Stacey",146791,0.00093251999306005
"Rosemary",146668,0.000931738610283542
"Willie",146046,0.000927787227462502
"Lydia",145967,0.000927285363727997
"Nellie",144355,0.000917044802461892
"Terri",144175,0.00091590131547188
"Georgia",143027,0.000908608409557806
"Sue",143027,0.000908608409557806
"Maureen",142724,0.000906683539791286
"Kelsey",142538,0.000905501936568274
"Savannah",141256,0.00089735776811719
"Carla",140837,0.000894695984512663
"Naomi",140535,0.000892777467451643
"Hailey",140315,0.000891379872241629
"Jenna",139766,0.000887892236922093
"Wilma",139068,0.000883458048483048
"Shelby",139051,0.000883350052489547
"Destiny",138104,0.000877334040380985
"Constance",137496,0.000873471595436946
"Marian",137197,0.000871572136492426
"Arlene",136613,0.000867862156480388
"Myrtle",136320,0.000866000813768869
"Heidi",135810,0.000862760933963836
"Kristina",134049,0.000851573819578221
"Melinda",133131,0.000845742035929162
